"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "TypeScript JSX", "JavaScript JSX", "JavaScript", "Prisma", "JSON", "SCSS", "CSS", "Properties", "comment", "blank", "total"
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\footer\components\LegalAndContact.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\header\Header.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 2, 20
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\header\components\ComputerLinks.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\header\components\ComputerNetworks.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 21, 7, 87
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\header\components\MenuSmartphone.tsx", "TypeScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\header\components\ToggleTheme.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\homeComponents\hero\Hero.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\homeComponents\portfolio\Portfolio.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\homeComponents\portfolio\components\PageCard.tsx", "TypeScript JSX", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 3, 4, 87
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\homeComponents\skills\Skills.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\homeComponents\skills\components\SkillCard.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\homeComponents\tools\Tools.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\homeComponents\tools\components\ToolCard.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\homeComponents\tools\components\ToolDetails.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\accordion.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 9, 59
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 15, 142
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\alert.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\avatar.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\badge.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\button.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\card.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 9, 80
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\carousel.tsx", "TypeScript JSX", 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 32, 266
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\dialog.tsx", "TypeScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 14, 123
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 19, 201
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\form.tsx", "TypeScript JSX", 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 25, 177
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\input.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\label.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\menubar.tsx", "TypeScript JSX", 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 20, 237
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 12, 129
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\select.tsx", "TypeScript JSX", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 15, 161
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\separator.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\sheet.tsx", "TypeScript JSX", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 16, 141
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\slider.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\sonner.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\textarea.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\shadcn\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\title\Title.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\datas\learn-more\static-site.tsx", "TypeScript JSX", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 2, 95
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\datas\navlinks.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\datas\portfolioList.tsx", "TypeScript JSX", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 2, 2, 154
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\datas\priceList.tsx", "TypeScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 1, 2, 63
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\datas\projects\langagesToChose.tsx", "TypeScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 2, 47
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\datas\projects\projects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 2, 140
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\datas\skillsList.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 3, 37
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\datas\socialLinks.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 3, 47
